PLANVERSIONID;ACTIVATIO;CREATIOND
180;25-DEC-16;23-DEC-16
185;5-feb-17;1-feb-17
186;13-feb-17;7-feb-17
195;10-jun-17;6-jun-17
196;27-jun-17;21-jun-17
199;14-AUG-17;09-AUG-17
204;17-sep-17;12-sep-17
208;1-oct-17;29-sep-17
216;29-oct-17;27-oct-17
220;26-nov-17;25-nov-17
222;24-DEC-17;19-DEC-17
223;29-DEC-17;26-DEC-17
225;21-JAN-18;15-JAN-18
230;11-mar-18;6-mar-18
232;18-mar-18;15-mar-18
234;24-mar-18;20-mar-18
237;09-APR-18;05-APR-18
244;23-jul-18;19-jul-18
248;24-sep-18;23-sep-18
252;24-DEC-18;19-DEC-18
257;26-mar-19;21-mar-19
259;29-APR-19;28-APR-19
262;22-jun-19;19-jun-19
179;12-DEC-16;07-DEC-16
187;27-feb-17;23-feb-17
193;13-may-17;11-may-17
194;5-jun-17;31-may-17
197;17-jul-17;12-jul-17
210;8-oct-17;5-oct-17
215;26-oct-17;25-oct-17
218;4-nov-17;3-nov-17
224;09-JAN-18;02-JAN-18
227;5-feb-18;1-feb-18
228;19-feb-18;13-feb-18
229;5-mar-18;1-mar-18
233;20-mar-18;18-mar-18
235;26-mar-18;25-mar-18
236;02-APR-18;31-mar-18
240;13-may-18;8-may-18
241;15-may-18;14-may-18
242;12-jun-18;8-jun-18
246;1-sep-18;29-AUG-18
247;22-sep-18;18-sep-18
250;26-nov-18;22-nov-18
253;14-JAN-19;09-JAN-19
254;28-JAN-19;22-JAN-19
255;4-mar-19;25-feb-19
256;18-mar-19;13-mar-19
260;13-may-19;8-may-19
182;10-JAN-17;10-JAN-17
183;15-JAN-17;11-JAN-17
184;23-JAN-17;18-JAN-17
188;6-mar-17;2-mar-17
189;16-mar-17;14-mar-17
190;21-mar-17;17-mar-17
191;10-APR-17;05-APR-17
192;17-APR-17;15-APR-17
198;24-jul-17;18-jul-17
200;28-AUG-17;23-AUG-17
201;3-sep-17;30-AUG-17
206;24-sep-17;21-sep-17
211;12-oct-17;9-oct-17
213;19-oct-17;17-oct-17
214;22-oct-17;19-oct-17
217;2-nov-17;29-oct-17
219;7-nov-17;6-nov-17
221;11-DEC-17;04-DEC-17
226;29-JAN-18;23-JAN-18
231;15-mar-18;13-mar-18
245;13-AUG-18;09-AUG-18
249;13-nov-18;7-nov-18
261;10-jun-19;6-jun-19
178;03-DEC-16;30-nov-16
181;02-JAN-17;28-DEC-16
202;9-sep-17;6-sep-17
203;11-sep-17;11-sep-17
205;20-sep-17;18-sep-17
207;28-sep-17;25-sep-17
209;5-oct-17;2-oct-17
212;15-oct-17;12-oct-17
238;1-may-18;23-APR-18
239;5-may-18;3-may-18
243;16-jul-18;12-jul-18
251;10-DEC-18;04-DEC-18
258;15-APR-19;10-APR-19
